DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Avda. Francisco Bilbao 2449,,Colegio Limerick,Colegio Limerick,4612-3833,,IniCom - PriCom,Gestion Privada,-58.4605819309062,-34.6353636918372,"{""type"":""Point"",""coordinates"":[-58.46058,-34.63536]}"
Avda. Rivadavia 3196,,Estudio de Enseńanza e Investigaciones Informaticas,Est. de Enseńanza e Investig. Informáticas,4684-0275,mmdeguemes@impsat1.com.ar,SNUCom,Gestion Privada,-58.4115987958363,-34.610680598079,"{""type"":""Point"",""coordinates"":[-58.4116,-34.61068]}"
Cnel. Ramón L. Falcón 2670,,Inst. ESBA - Flores,I ESBA - Flores,4637-1400/10,,IniCom - PriCom -  MedAdu - SNUCom,Gestion Privada,-58.4658611281782,-34.6312817534211,"{""type"":""Point"",""coordinates"":[-58.46586,-34.63128]}"
Avda. Asamblea 1840,,Inst. Argentino-Coreano,I Argentino-Coreano,4631-6027,ica_argentina@kebi.com,IniCom - PriCom,Gestion Privada,-58.4497396047744,-34.6392557242928,"{""type"":""Point"",""coordinates"":[-58.44974,-34.63926]}"
Avda. Gral. Paz y Avda. Gral. Dellepiane,,Centro Comunitario San Cayetano,CC San Cayetano,,,PriAdu,Gestion Privada,-58.4899278423426,-34.6823720608663,"{""type"":""Point"",""coordinates"":[-58.48993,-34.68237]}"
Gral. José Gervasio de Artigas 1276,,Inst. Sagrada Familia,Inst. Sagrada Familia,4581-2774 4584-6390,,IniCom - PriCom - MedCom,Gestion Privada,-58.4706136577062,-34.6160735593258,"{""type"":""Point"",""coordinates"":[-58.47061,-34.61607]}"
Gral. César Díaz 2052,,Inst. Cabrini,I Cabrini,4581-0272/7036,adm.a290@mcabrini.org.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4686364381383,-34.6090883261591,"{""type"":""Point"",""coordinates"":[-58.46864,-34.60909]}"
Alejandro Magarińos Cervantes 3167,,Inst. Carlos Steeb,I Carlos Steeb,4582-9838,hmverona@cutci.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4832112048217,-34.6150972223794,"{""type"":""Point"",""coordinates"":[-58.48321,-34.6151]}"
Felipe Vallese 2549,,Inst. Mons. Aneiros de San Jose,I. Mons. Aneiros de San José,4611-5764,,IniCom - PriCom - MedCom,Gestion Privada,-58.4682482715703,-34.6216093633426,"{""type"":""Point"",""coordinates"":[-58.46825,-34.62161]}"
Paula Albarracín de Sarmiento 3436,,Inst. Sta. Rita,Inst. Sta. Rita,4566-9005,starita@rcc.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4875070864365,-34.6154278843356,"{""type"":""Point"",""coordinates"":[-58.48751,-34.61543]}"
Bolivia 667,,Inst. San Roberto,Inst. San Roberto,4612-0084,,IniCom - PriCom,Gestion Privada,-58.4682079716784,-34.623279932777,"{""type"":""Point"",""coordinates"":[-58.46821,-34.62328]}"
Bahía Blanca 363,,Inst. La Candelaria,Inst. La Candelaria,4672-7090,,IniCom - PriCom - MedCom,Gestion Privada,-58.4819352257182,-34.6297292808148,"{""type"":""Point"",""coordinates"":[-58.48194,-34.62973]}"
Avda. Nazca 537,,Inst. Schonthal,Inst. Schonthal,4612-1395 4637-1414,correo@schortall.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.471523351208,-34.6259437546858,"{""type"":""Point"",""coordinates"":[-58.47152,-34.62594]}"
Terrero 70,,Colegio Numen,Colegio Numen,4632-0545,correo@colegionumen.com.ar,IniCom - PriCom,Gestion Privada,-58.4560288254512,-34.6253896294812,"{""type"":""Point"",""coordinates"":[-58.45603,-34.62539]}"
Dr. Juan Felipe Aranguren 2864,,Inst. Dr. Emilio F. Cardenas,I Dr. Emilio F. Cárdenas,4611-3737,,MedCom - MedAdu,Gestion Privada,-58.4715854806182,-34.6250975420282,"{""type"":""Point"",""coordinates"":[-58.47159,-34.6251]}"
Bogotá 3449,,Inst. Argentino Arabe Islamico,I Argentino Arabe Islámico,4611-2087,,IniCom - PriCom - MedCom - MedAdu,Gestion Privada,-58.4777256825777,-34.6291080394382,"{""type"":""Point"",""coordinates"":[-58.47773,-34.62911]}"
Helguera 453,,Inst. Puertas de Sion,Inst. Puertas de Sión,4637-5897/98/99,,IniCom - PriCom,Gestion Privada,-58.4745528975756,-34.6264465605486,"{""type"":""Point"",""coordinates"":[-58.47455,-34.62645]}"
Terrada 1164,,Escuela de Enfermeria del Htal. Israelita,Esc. de Enfermería Htal. Israelita,4581-0076/79 int.197,,SNUCom - Otras,Gestion Privada,-58.4735472437139,-34.6192380899867,"{""type"":""Point"",""coordinates"":[-58.47355,-34.61924]}"
Granaderos 168,,Escuela Para El Hombre Nuevo,Escuela Para El Hombre Nuevo,4631-5429/4594,hnuevo@ieducativa.com.ar,IniCom - PriCom,Gestion Privada,-58.459899481166,-34.6257534006933,"{""type"":""Point"",""coordinates"":[-58.4599,-34.62575]}"
Avda. Boyacá 1440,,Inst. Ayelen,I Ayelén,4582-0590,ayelenespecial@fibertel.com.ar,PriEsp - Otras,Gestion Privada,-58.4666462125193,-34.6131017625046,"{""type"":""Point"",""coordinates"":[-58.46665,-34.6131]}"
Cuenca 1424,,Inst. San Bernardo,Inst. San Bernardo,4566-1888/6497,,MedCom,Gestion Privada,-58.4824091407547,-34.6171698457982,"{""type"":""Point"",""coordinates"":[-58.48241,-34.61717]}"
Helguera 40,Helguera 42,Inst. Eyelen,I Eyelén,4611-8163,eyelen@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4727257585535,-34.6309387162128,"{""type"":""Point"",""coordinates"":[-58.47273,-34.63094]}"
Gral. José Gervasio de Artigas 80,,Abrahan Lincoln Flores,Abrahan Lincoln Flores,4637-3010/3515/1440,,MedCom - MedAdu - SNUCom,Gestion Privada,-58.4645838061063,-34.6284217710689,"{""type"":""Point"",""coordinates"":[-58.46458,-34.62842]}"
República Arabe Siria 3088,,Jardin de Infantes Bumerang,Jardín de Infantes Bumerang,4802-7945,cavillaroel@velocom.com,IniCom,Gestion Privada,-58.4133156121632,-34.5801808488925,"{""type"":""Point"",""coordinates"":[-58.41332,-34.58018]}"
Bogotá 2847,,Inst. Recreativo Terapeutico Es. IRTE,IRTE,4611-6503,irte.srl@janssen.com.ar,Otras,Gestion Privada,-58.4704734462579,-34.6271258493869,"{""type"":""Point"",""coordinates"":[-58.47047,-34.62713]}"
Gavilán 75,,Inst. Superior de Ciencias de la Salud,I. Superior de Ciencias de la Salud,4633-7564 4631-5864,inscienciasdelasalud@arnet.com,SNUCom - Otras,Gestion Privada,-58.4602592856409,-34.6270492247145,"{""type"":""Point"",""coordinates"":[-58.46026,-34.62705]}"
Pedernera 275,,Hipolito Yrigoyen,Hipólito Yrigoyen,4613-9291,hyrigoyen@impsat1.com.ar,SNUCom,Gestion Privada,-58.4628364631256,-34.6325653781106,"{""type"":""Point"",""coordinates"":[-58.46284,-34.63257]}"
Manuel Artigas 6140,,Inst. Calasancio Divina Pastora,I Calasancio Divina Pastora,4635-3642/7435,,IniCom - PriCom - MedCom,Gestion Privada,-58.5046556703745,-34.6517308670274,"{""type"":""Point"",""coordinates"":[-58.50466,-34.65173]}"
Manuel Artigas 6142,,Inst. San Vicente de Paul,Inst. San Vicente de Paul,4635-3792,parroquialpaul@hotmail.com.ar,IniCom - PriCom,Gestion Privada,-58.5047326178585,-34.6518033984052,"{""type"":""Point"",""coordinates"":[-58.50473,-34.6518]}"
Gregorio de Laferrere 5865,,Inst. Ntra. Sra. de la Misericordia,I. Ntra. Sra. de la Misericordia,4635-7182/0635,,IniCom - PriCom - MedCom -MedAdu,Gestion Privada,-58.4906516026932,-34.6612510798497,"{""type"":""Point"",""coordinates"":[-58.49065,-34.66125]}"
Basualdo 780,,Inst. San Pio X,Inst. San Pío X,4683-0702/3023,,IniCom - PriCom - MedCom,Gestion Privada,-58.4981897199641,-34.6450641658265,"{""type"":""Point"",""coordinates"":[-58.49819,-34.64506]}"
Ameghino 1441,,Ntra. Sra. de los Remedios,Ntra. Sra. de los Remedios,4683-9101,,IniCom - PriCom - MedCom,Gestion Privada,-58.478652696734,-34.6501881122856,"{""type"":""Point"",""coordinates"":[-58.47865,-34.65019]}"
Avda. Larrazábal 1551,,Inst. Placido Marin,Inst. Placido Marín,4635-0115,,MedCom,Gestion Privada,-58.49964624348,-34.6538284595578,"{""type"":""Point"",""coordinates"":[-58.49965,-34.65383]}"
Avda. Larrazábal 3118,Larrazabal 3118,Inst. Canto a la Vida,I Canto a la Vida,4602-5138 4601-2789,,IniCom - PriCom - MedCom,Gestion Privada,-58.4821121319596,-34.6685366318168,"{""type"":""Point"",""coordinates"":[-58.48211,-34.66854]}"
Crisóstomo Álvarez 4680,,Inst. Sara Chamberlain de Eccleston,Inst. Sara Chamberlain de Eccleston,4638-0149,,IniCom - PriCom,Gestion Privada,-58.4754369513898,-34.6625310192976,"{""type"":""Point"",""coordinates"":[-58.47544,-34.66253]}"
Avda. Olivera 1536,,Crecer y Ser,Crecer y Ser,4684-2551,,IniCom - PriCom,Gestion Privada,-58.4792041514937,-34.656600584571,"{""type"":""Point"",""coordinates"":[-58.4792,-34.6566]}"
Manzoni 284,,Este es mi mundo,Este es mi mundo,4683-9589,,IniCom,Gestion Privada,-58.4986909656618,-34.6408772310185,"{""type"":""Point"",""coordinates"":[-58.49869,-34.64088]}"
Emilio Castelar 727,,Burbujas,Burbujas,4672-4899,,IniCom,Gestion Privada,-58.4964876667243,-34.6301172028598,"{""type"":""Point"",""coordinates"":[-58.49649,-34.63012]}"
Avda. Donato Alvarez 2088,,Inst. Educ. Paulo Freire,I Educ. Paulo Freire,4583-3834,,MedAdu,Gestion Privada,-58.4649754083495,-34.6031267413838,"{""type"":""Point"",""coordinates"":[-58.46498,-34.60313]}"
Almte. Francisco J. Seguí 2272,,Inst. Educativo Terapeutico Lazos-Fupa,I Educativo Terapéutico Lazos-Fupa,4585-2159,fupa@pronilad.org.ar,PriEsp,Gestion Privada,-58.4620102007057,-34.6000576947592,"{""type"":""Point"",""coordinates"":[-58.46201,-34.60006]}"
Avda. del Campo 1653,,Instituto Carolina E. de Martinez,I. C. E. de Martínez,4521-0258,,IniCom - PriCom - MedCom,Gestion Privada,-58.4704120378458,-34.5875633257269,"{""type"":""Point"",""coordinates"":[-58.47041,-34.58756]}"
San Blas 1640,,Inst. Claret,I Claret,4581-0866/5610,aclaret@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4652045691156,-34.6036262268258,"{""type"":""Point"",""coordinates"":[-58.4652,-34.60363]}"
Plaza 1154,,Inst. San Roque,Inst. San Roque,4552-4468/1602,info@sanroque.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4674152136058,-34.5810673361665,"{""type"":""Point"",""coordinates"":[-58.46742,-34.58107]}"
O'Higgins 4771,,El Jardin de los Mirasoles,El Jardín de los Mirasoles,4703-5781,,IniCom,Gestion Privada,-58.4706005479197,-34.5381793269499,"{""type"":""Point"",""coordinates"":[-58.4706,-34.53818]}"
Palpa 3480,,Inst. San Pablo Apostol,Inst. San Pablo Apóstol,4553-3415 4554-0585,,IniCom - PriCom - MedCom,Gestion Privada,-58.4527891472378,-34.5796484565564,"{""type"":""Point"",""coordinates"":[-58.45279,-34.57965]}"
Avda. San Martín 4460,,Inst. San Juan Maria Vianney,Inst. San Juan María Vianney,4502-3675/5220,,IniCom - PriCom,Gestion Privada,-58.4827906238702,-34.5981720130212,"{""type"":""Point"",""coordinates"":[-58.48279,-34.59817]}"
Juan Agustín García 2044,,Escuela Evangelica Laura y Henry Fishbach,Esc. Evangélica Laura y Henry Fishbach,4584-1043,lfishbach@becenet.org.ar,IniCom - PriCom,Gestion Privada,-58.4716259343246,-34.6050552508213,"{""type"":""Point"",""coordinates"":[-58.47163,-34.60506]}"
Avda. Dorrego 894,,Inst. Resurreccion del Sr.,I. Resurrección del Seńor,4855-7678,resurrec@sinectis.com.ar,IniCom - PriCom,Gestion Privada,-58.4469905579273,-34.5909296310239,"{""type"":""Point"",""coordinates"":[-58.44699,-34.59093]}"
Roseti 50,,Escuela Jean Piaget,Escuela Jean Piaget,4854-1983,jeanpiaget@sion.com,IniCom - PriCom,Gestion Privada,-58.4459902366128,-34.5865225120184,"{""type"":""Point"",""coordinates"":[-58.44599,-34.58652]}"
Quirós 2941,,Inst. Educ. Sta. Teresita,I Educ. Sta. Teresita,4521-0422,,IniCom - PriCom,Gestion Privada,-58.4762628669014,-34.5898277345499,"{""type"":""Point"",""coordinates"":[-58.47626,-34.58983]}"
Almte. Francisco J. Seguí 2130,,Inst. Tel Aviv Central,Inst. Tel Aviv Central,4581-9931,,IniCom - PriCom,Gestion Privada,-58.4624881579997,-34.6015696174672,"{""type"":""Point"",""coordinates"":[-58.46249,-34.60157]}"
Giribone 863,Giribone 867- Giribone 873 - Giribone 877,Escuela Argentina,Escuela Argentina,4553-3904,argentina@velocom.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4549414873516,-34.5805027139182,"{""type"":""Point"",""coordinates"":[-58.45494,-34.5805]}"
Olleros 3855,,Escuela del Siglo Nuevo,Escuela del Siglo Nuevo,4553-4872/9689,siglonuevo@arnet.com.ar,PriCom,Gestion Privada,-58.4521709180913,-34.5842641432772,"{""type"":""Point"",""coordinates"":[-58.45217,-34.58426]}"
Tinogasta 2685,,Inst. Comunicaciones Cooperativa Trab. Ltda.,I Comunicaciones,4502-7377/8044,institutocomunicaciones@rec.com.ar,PriCom - MedCom,Gestion Privada,-58.4899599814452,-34.597005906658,"{""type"":""Point"",""coordinates"":[-58.48996,-34.59701]}"
Delgado 977,,Escuela Tecnica Philips,Escuela Técnica Philips,4555-4777/4776,info@philips.edu.ar,MedCom,Gestion Privada,-58.4557350722273,-34.5773624803453,"{""type"":""Point"",""coordinates"":[-58.45574,-34.57736]}"
Arribeńos 1300,,Escuela Comunitaria Arlene Fern,Escuela Comunitaria Arlene Fern,4781-6090 4855-0255,,IniCom - PriCom,Gestion Privada,-58.4439349066157,-34.5657747218541,"{""type"":""Point"",""coordinates"":[-58.44393,-34.56577]}"
Gral. José Gervasio de Artigas 2052,,Colegio del Sendero Infantina,Colegio del Sendero Infantina,4581-3319,infantina@mol.com.ar,IniCom,Gestion Privada,-58.4768188537069,-34.608287084524,"{""type"":""Point"",""coordinates"":[-58.47682,-34.60829]}"
Avda. Forest 516,,Jardin de Infantes Colmenitas,Jardín de Infantes Colmenitas,4554-7079,,IniCom,Gestion Privada,-58.4533533708134,-34.5860915057713,"{""type"":""Point"",""coordinates"":[-58.45335,-34.58609]}"
Giribone 1055,,Inst. Lecanne,Inst. Lecanne,4553-3466,institotu_lecanne@arnet.com.ar,IniEsp - PriEsp,Gestion Privada,-58.4570682966116,-34.5798386553032,"{""type"":""Point"",""coordinates"":[-58.45707,-34.57984]}"
Avda. Federico Lacroze 3743,,Inst. Privado Belgrano,Inst. Privado Belgrano,4551-2404,pond_srl@arnet.com.ar,PriEsp,Gestion Privada,-58.4526055768373,-34.5827511847599,"{""type"":""Point"",""coordinates"":[-58.45261,-34.58275]}"
Andonaegui 2287,,Inst. Beata Imelda,I Beata Imelda,4521-8764,,IniCom - PriCom - MedCom,Gestion Privada,-58.4889498738091,-34.5772289109695,"{""type"":""Point"",""coordinates"":[-58.48895,-34.57723]}"
Bauness 2635,,Inst. Priv. Emilia Mourtier de Piran,I. Priv. Emilia Mourtier de Pirán,4521-0078/1644,,MedCom,Gestion Privada,-58.4891056613248,-34.5730864152813,"{""type"":""Point"",""coordinates"":[-58.48911,-34.57309]}"
Avda. Olazábal 3871,,Inst. Hijas de Jesus,Inst. Hijas de Jesús,4542-6441 4546-1016,,MedCom,Gestion Privada,-58.4735455960152,-34.5691163607039,"{""type"":""Point"",""coordinates"":[-58.47355,-34.56912]}"
Avda. Olazábal 3871,,Inst. Etelvina Gonzalez Chavez de Torello,I Etelvina Gonzalez Chavez de Torello,4542-6441 4546-1016,,IniCom - PriCom,Gestion Privada,-58.4735455960152,-34.5691163607039,"{""type"":""Point"",""coordinates"":[-58.47355,-34.56912]}"
Avda. Ricardo Balbín 4131,,Inst. Sta. Maria de Nazareth,Inst. Sta. Maria de Nazareth,4541-5253/5808,nazareth@rec.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4894189222011,-34.5548434341267,"{""type"":""Point"",""coordinates"":[-58.48942,-34.55484]}"
Díaz Colodrero 2431,,Colegio Horacio Watson,Colegio Horacio Watson,4521-5180 4523-1349,watson@ssdnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4856040405369,-34.5734398196984,"{""type"":""Point"",""coordinates"":[-58.4856,-34.57344]}"
Quesada 5228,,Escuela Cristo Rey,Escuela Cristo Rey,4542-2737,,IniCom - PriCom,Gestion Privada,-58.4912898051988,-34.5690703942814,"{""type"":""Point"",""coordinates"":[-58.49129,-34.56907]}"
Bauness 2635,,Inst. Obra de la Conservacion de la Fe,I. Obra de la Conservación de la Fe,4521-0078 4523-5102 Fax,,IniCom - PriCom,Gestion Privada,-58.4891056613248,-34.5730864152813,"{""type"":""Point"",""coordinates"":[-58.48911,-34.57309]}"
Blanco Encalada 5154,,Inst. Sagrada Familia,Inst. Sagrada Familia,4521-5117/7845,sagrada_familia@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4871339455518,-34.5758667215661,"{""type"":""Point"",""coordinates"":[-58.48713,-34.57587]}"
Avda. Crisólogo Larralde 4841,,Dulcisimo Nombre de Jesus,Dulcísimo Nombre de Jesús,4541-9796,,IniCom - PriCom - MedCom,Gestion Privada,-58.4904660472101,-34.5604577152766,"{""type"":""Point"",""coordinates"":[-58.49047,-34.56046]}"
Cullen 5193,,Inst. Ntra. Sra. del Carmen,Inst. Ntra. Sra. del Carmen,4521-5322/2294,info@colegiodelcarmen.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4888738868046,-34.5732957533263,"{""type"":""Point"",""coordinates"":[-58.48887,-34.5733]}"
Estomba 1830,,Inst. Juan S. Gaynor,Inst. Juan S. Gaynor,4552-6401 4553-1718,bethan2001@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4695791656309,-34.5731460908038,"{""type"":""Point"",""coordinates"":[-58.46958,-34.57315]}"
Avda. Monroe 5352,,Inst. Saint Jean,Inst. Saint Jean,4521-8625/0478/8625,saintjean@sinectis.com.ar,IniCom - IniEsp - PriCom - PriEsp - MedCom - SNUCom - Otras,Gestion Privada,-58.4888158963537,-34.5758762096021,"{""type"":""Point"",""coordinates"":[-58.48882,-34.57588]}"
Barzana 2040,,Inst. Educ. San Alfonso,I Educ. San Alfonso,4522-8735,,IniCom - PriCom - MedCom,Gestion Privada,-58.4872038948259,-34.5801620300055,"{""type"":""Point"",""coordinates"":[-58.4872,-34.58016]}"
Pacheco 2059,,Inst. Ceferino Namuncura,I Ceferino Namuncurá,4521-8366/7697,namuncura@tutopia.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4810656629237,-34.5760777943839,"{""type"":""Point"",""coordinates"":[-58.48107,-34.57608]}"
Nahuel Huapi 4140,,Inst. San Patricio,Inst. San Patricio,4545-7746,dirgeneral@stpatricks.esc.edu.,IniCom - PriCom - MedCom,Gestion Privada,-58.4789739098944,-34.5657316786119,"{""type"":""Point"",""coordinates"":[-58.47897,-34.56573]}"
Echeverría 3920,,Inst. San Vicente Pallotti,Inst. San Vicente Pallotti,4551-3267,,IniCom - PriCom,Gestion Privada,-58.4706399109321,-34.5718325678045,"{""type"":""Point"",""coordinates"":[-58.47064,-34.57183]}"
Estomba 2636,,Inst. Horizonte,Inst. Horizonte,4543-5591,horizontes@impsat1.com.ar,IniCom - PriCom,Gestion Privada,-58.4755208342837,-34.5659186208871,"{""type"":""Point"",""coordinates"":[-58.47552,-34.56592]}"
Estomba 4052,,Inst. Norbridge,Inst. Norbridge,4541-7661,norbridge@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4855611450899,-34.5529113980431,"{""type"":""Point"",""coordinates"":[-58.48556,-34.55291]}"
Juramento 4751,,"Centro de Recuperacion, Adaptacion y Recreacion","C. Recuperación, Adaptación y Recreación",4522-6666,,IniEsp - PriEsp - Otras,Gestion Privada,-58.4791299444746,-34.575031489142,"{""type"":""Point"",""coordinates"":[-58.47913,-34.57503]}"
Galván 3266,,Inst. Nuevos Aires,Inst. Nuevos Aires,4545-4602/4554,cnuevosaires@arnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4890854676295,-34.5652545677682,"{""type"":""Point"",""coordinates"":[-58.48909,-34.56525]}"
Ballivián 2230,,Inst. Educ. Duayen,I Educ. Duayen,4522-9292,www.duayen.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4742265278374,-34.5787280675715,"{""type"":""Point"",""coordinates"":[-58.47423,-34.57873]}"
Avda. Congreso 4931,,Inst. Sir Thomas Malory,Inst. Sir Thomas Malory,4541-7453,sirtomasmalory@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4884242259205,-34.5686451377274,"{""type"":""Point"",""coordinates"":[-58.48842,-34.56865]}"
Avda. Triunvirato 4671,,Inst. ESBA - Villa Urquiza,I ESBA - Villa Urquiza,4521-3500,esbaurquiza@ciudad.com.ar,MedAdu - SNUCom,Gestion Privada,-58.4859133133479,-34.5744860087851,"{""type"":""Point"",""coordinates"":[-58.48591,-34.57449]}"
Avda. Triunvirato 4654,,Inst. Superior de Enseńanza Intercambio,I. S. de E. Intercambio,4521-0578,intercambio@interlink.com.ar,SNUCom,Gestion Privada,-58.4861088384741,-34.5747221753721,"{""type"":""Point"",""coordinates"":[-58.48611,-34.57472]}"
Zamudio 5541,,Inst. Educ. Arg. Ntra. Sra. de Lujan,I Educ. Arg. Ntra. Sra. de Luján,4572-3466/7490,ntrasralujan@arnet,IniCom - PriCom - MedCom,Gestion Privada,-58.5025064756847,-34.5759988315892,"{""type"":""Point"",""coordinates"":[-58.50251,-34.576]}"
Avda. Albarellos 2367,,Inst. Damasa Zelaya de Saavedra,I D Zelaya de Saavedra,4572-5913/4117,,IniCom - PriCom - MedCom,Gestion Privada,-58.5040719622506,-34.5739274419048,"{""type"":""Point"",""coordinates"":[-58.50407,-34.57393]}"
Gabriela Mistral 3757,,Inst. Fasta San Vicente de Paul,I Fasta San Vicente de Paul,4501-1306,fastasvdep@interar.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5128862072081,-34.5939548047366,"{""type"":""Point"",""coordinates"":[-58.51289,-34.59395]}"
Navarro 2517,,Centro Educativo Parroquia San Jose Sta. Magdalena,CE Pquia San José Sta. Magdalena,4373-5963,,IniCom - PriCom - MedCom,Gestion Privada,-58.4908359317869,-34.5915573664798,"{""type"":""Point"",""coordinates"":[-58.49084,-34.59156]}"
Avda. Gral. Mosconi 3022,,Inst. Ntra. Sra. del Huerto,Inst. Ntra. Sra. del Huerto,4571-7584,,IniCom - PriCom - MedCom,Gestion Privada,-58.5036612164672,-34.5873704308142,"{""type"":""Point"",""coordinates"":[-58.50366,-34.58737]}"
Vallejos 4746,,Inst. Ntra. Sra. de Gracia y Buen Remedio,Inst. Ntra. Sra. de Gracia y Buen Remedio,4501-0249,insgybr@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.5236695070615,-34.6020495291725,"{""type"":""Point"",""coordinates"":[-58.52367,-34.60205]}"
Avda. San Martín 6832,,Inst. San Jose,Inst. San José,4501-1125,,IniCom - PriCom - MedCom,Gestion Privada,-58.5101742652867,-34.592162623056,"{""type"":""Point"",""coordinates"":[-58.51017,-34.59216]}"
Mercedes 4734,,Inst. Mater Dolorosa,Inst. Mater Dolorosa,4501-0476,,IniCom - PriCom - MedCom,Gestion Privada,-58.5174834984656,-34.5952289090667,"{""type"":""Point"",""coordinates"":[-58.51748,-34.59523]}"
Avda. Gral. Mosconi 3845,,Inst. J. N. Bialik,Inst. J. N. Bialik,4501-2123,,IniCom - PriCom,Gestion Privada,-58.5147536008836,-34.5938368770585,"{""type"":""Point"",""coordinates"":[-58.51475,-34.59384]}"
José Cubas 3675,,Colegio Episcopal de Buenos Aires,Colegio Episcopal de Buenos Aires,4501-0032,201789@arnet.com.ar,MedCom,Gestion Privada,-58.5104749779376,-34.594750603527,"{""type"":""Point"",""coordinates"":[-58.51047,-34.59475]}"
Campana 4658,Avda. Gral. Mosconi 3350,Escuela de Enfermeria del Htal. Sirio Libanes,Esc. de Enfermería Htal. Sirio Libanés,4574-2518/4343,,Otras,Gestion Privada,-58.5072555699298,-34.5899240425463,"{""type"":""Point"",""coordinates"":[-58.50726,-34.58992]}"
Avda. San Martín 5481,,Escuela de Enfermeria Helena Larroque de Roffo,Esc. de Enfermería H. Larroque de Roffo,4580-2800 int. 247,,SNUCom,Gestion Privada,-58.4945818118767,-34.5967773868135,"{""type"":""Point"",""coordinates"":[-58.49458,-34.59678]}"
Terrada 3080,,Inst. Platerillo,Inst. Platerillo,4502-8383/4801,,IniCom - PriCom,Gestion Privada,-58.4891945161729,-34.6003644005557,"{""type"":""Point"",""coordinates"":[-58.48919,-34.60036]}"
Avda. de los Constituyentes 5880,,Inst. Politecnico Modelo,Inst. Politécnico Modelo,4572-2871,info@ipmesc.edu.ar,MedCom,Gestion Privada,-58.5041042644549,-34.5730921600359,"{""type"":""Point"",""coordinates"":[-58.5041,-34.57309]}"
Avda. Nazca 4966,,Platerillo,Platerillo,4571-9124,,IniCom,Gestion Privada,-58.5043119866366,-34.584107192079,"{""type"":""Point"",""coordinates"":[-58.50431,-34.58411]}"
Avda. Albarellos 2578,,Aula Nueva,Aula Nueva,4574-2117,,IniCom - PriCom,Gestion Privada,-58.5061008874416,-34.575548404121,"{""type"":""Point"",""coordinates"":[-58.5061,-34.57555]}"
Pirán 6324,,Inst. Garabatos,Inst. Garabatos,4572-9157,garabatos@altavista.com,IniCom,Gestion Privada,-58.5059028877875,-34.5711570783863,"{""type"":""Point"",""coordinates"":[-58.5059,-34.57116]}"
Terrada 4356,,Inst. Del Sol,I Del Sol,4572-2184,,IniCom,Gestion Privada,-58.4987611684071,-34.5882888455271,"{""type"":""Point"",""coordinates"":[-58.49876,-34.58829]}"
Franco 3057,,Centro de Arte y Tecnologia,Centro de Arte y Tecnología,4571-6505,info@ceartec.edu.ar,SNUArt,Gestion Privada,-58.5085393340252,-34.5825857579896,"{""type"":""Point"",""coordinates"":[-58.50854,-34.58259]}"
Nueva York 3571,,Inst. Secundario Cardenal Copello,Inst. Secundario Cardenal Copello,4501-0427,,IniCom - PriCom - MedCom,Gestion Privada,-58.5065074151132,-34.5967682289755,"{""type"":""Point"",""coordinates"":[-58.50651,-34.59677]}"
Simbrón 3160,,Inst. Evangelico Americano,I Evangélico Americano,4504-3900,jeavdp@internet.siscotel.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4960765115832,-34.5995011152566,"{""type"":""Point"",""coordinates"":[-58.49608,-34.5995]}"
Pedro Lozano 3151,,Inst. San Jose de Villa del Parque,Inst. San José de Villa del Parque,4503-9248/9667,sanjose_vp@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4946287548001,-34.600839694086,"{""type"":""Point"",""coordinates"":[-58.49463,-34.60084]}"
Cuenca 2651,,Inst. Santisima Virgen Nińa,Inst. Santísima Virgen Nińa,4501-0854 4502-9168,teresita@virgennina.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4921870405873,-34.605109098443,"{""type"":""Point"",""coordinates"":[-58.49219,-34.60511]}"
